"","Tm","X.Bat","BatAge","R.G","G","PA","AB","RS","Hits.Made","X2B","X3B","HR.Made","RBI","SB","CS","BB.Made","SO.Batting","BA","OBP","SLG","OPS","OPS.PLUS","TB","GDP","HBP.Batting","SH","SF","IBB.Batting","LOB.Batting","X.P","PAge","RAperG","W","L","W.L.","ERA","GS","GF","CG","tSho","cSho","SV","IP","Hits.Allowed","RA","ER","HR.Allowed","BB.Allowed","IBB.Pitching","SO.Pitching","HBP.Pitching","BK","WP","BF","ERA.PLUS","FIP","WHIP","H9","HR9","BB9","SO9","SO.Walk","LOB.Pitching","year","RS.RA","PO","WS","X.Fld","RunsAllowedPerGame","DefEff","Inn","Ch","PO.Fielding","A","E","DP","Fld.Percent","Rtot","Rtot.yr"
"205","Milwaukee Brewers1977",36,27.2,3.94,162,6088,5517,639,1425,255,46,125,598,85,67,443,862,0.258,0.314,0.389,0.703,91,2147,120,22,60,45,23,1105,13,24.1,4.72,67,95,0.414,4.32,162,124,38,6,4,25,1431,1461,765,687,136,566,61,719,36,8,43,6184,94,4.23,1.416,9.2,0.9,3.6,4.5,1.27,1126,1977,-126,0,0,36,4.72,0.701,12878,6318,4293,1886,139,165,0.978,-2,0
"206","Minnesota Twins1977",36,26.6,5.39,161,6382,5639,867,1588,273,60,123,804,105,65,563,754,0.282,0.348,0.417,0.765,109,2350,115,43,81,56,53,1188,15,27,4.82,84,77,0.522,4.36,161,126,35,4,4,25,1442,1546,776,698,151,507,27,737,37,5,48,6220,91,4.21,1.424,9.6,0.9,3.2,4.6,1.45,1118,1977,91,0,0,35,4.82,0.69,12978,6402,4326,1932,144,184,0.978,-6,-1
"207","Montreal Expos1977",37,26.4,4.1,162,6282,5675,665,1474,294,50,138,622,88,50,478,877,0.26,0.318,0.402,0.72,96,2282,125,21,69,39,66,1160,17,26.9,4.54,75,87,0.463,4.01,162,131,31,11,9,33,1481,1426,736,660,135,579,49,856,25,6,50,6333,95,3.99,1.354,8.7,0.8,3.5,5.2,1.48,1154,1977,-71,0,0,37,4.54,0.71,13328.2,6420,4443,1848,129,128,0.98,27,2
"208","New York Mets1977",40,27,3.62,162,6071,5410,587,1319,227,30,88,525,98,81,529,887,0.244,0.313,0.346,0.658,82,1870,136,30,63,37,45,1128,16,27.2,4.09,64,98,0.395,3.77,162,135,27,12,10,28,1433.2,1378,663,601,118,490,76,911,32,16,25,6061,99,3.63,1.303,8.7,0.7,3.1,5.7,1.86,1097,1977,-76,0,0,40,4.09,0.702,12903,6047,4301,1612,134,132,0.978,-6,-1
"209","New York Yankees1977",36,29.1,5.13,162,6261,5605,831,1576,267,47,184,784,93,57,533,681,0.281,0.344,0.444,0.788,115,2489,117,28,46,48,49,1142,13,28.6,4.02,100,62,0.617,3.61,162,110,52,16,11,34,1449.1,1395,651,581,139,486,31,758,22,2,39,6083,109,3.99,1.298,8.7,0.9,3,4.7,1.56,1084,1977,180,1,1,35,4.02,0.714,13044,6215,4348,1735,132,151,0.979,44,4
"210","Oakland Athletics1977",40,27.3,3.76,161,6021,5358,605,1284,176,37,117,548,176,89,516,910,0.24,0.308,0.352,0.66,82,1885,111,36,64,46,37,1048,19,27.1,4.65,63,98,0.391,4.04,161,129,32,4,3,26,1436.2,1459,749,645,145,560,49,788,24,4,55,6201,99,4.17,1.405,9.1,0.9,3.5,4.9,1.41,1143,1977,-144,0,0,40,4.65,0.694,12930,6262,4310,1762,190,136,0.97,-20,-2
"211","Philadelphia Phillies1977",36,29.4,5.23,162,6293,5546,847,1548,266,56,186,795,135,68,573,806,0.279,0.346,0.448,0.794,108,2484,121,38,59,74,75,1140,13,29.7,4.12,101,61,0.623,3.71,162,131,31,7,4,47,1455.2,1451,668,600,134,482,46,856,24,17,44,6128,109,3.8,1.328,9,0.8,3,5.3,1.78,1093,1977,179,1,0,35,4.12,0.7,13093,6439,4367,1952,120,168,0.981,62,6
"212","Pittsburgh Pirates1977",36,28.2,4.53,162,6263,5662,734,1550,278,57,133,678,260,120,474,878,0.274,0.331,0.413,0.745,97,2341,96,34,49,43,74,1116,15,27.3,4.1,96,66,0.593,3.61,162,137,25,15,6,39,1481.2,1406,665,594,149,485,43,890,21,12,44,6211,110,3.87,1.276,8.5,0.9,2.9,5.4,1.84,1101,1977,69,0,0,35,4.1,0.711,13335,6369,4445,1779,145,137,0.977,47,4
"213","San Diego Padres1977",35,25.6,4.27,162,6356,5602,692,1397,245,49,120,652,133,57,602,1057,0.249,0.324,0.375,0.699,97,2100,102,29,90,30,64,1226,15,26,5.15,69,93,0.426,4.43,162,156,6,5,2,44,1466.1,1556,834,722,160,673,106,827,27,25,46,6477,80,4.46,1.52,9.6,1,4.1,5.1,1.23,1244,1977,-142,0,0,34,5.15,0.684,13197,6434,4399,1846,189,142,0.971,-29,-3
"214","Seattle Mariners1977",43,26.2,3.85,162,6049,5460,624,1398,218,33,133,589,110,67,426,769,0.256,0.312,0.381,0.693,89,2081,114,35,81,42,22,1079,21,27.9,5.28,64,98,0.395,4.83,162,144,18,1,1,31,1433,1508,855,769,194,578,41,785,61,9,51,6282,85,4.74,1.456,9.5,1.2,3.6,4.9,1.36,1128,1977,-231,0,0,43,5.28,0.698,12897,6253,4299,1807,147,162,0.976,4,0
"215","San Francisco Giants1977",33,26.7,4.15,162,6218,5497,673,1392,227,41,134,624,90,59,568,842,0.253,0.323,0.383,0.705,90,2103,118,21,78,51,61,1150,13,27,4.39,75,87,0.463,3.75,162,135,27,10,7,33,1459,1501,711,608,114,529,90,854,27,6,34,6273,105,3.73,1.391,9.3,0.7,3.3,5.3,1.61,1185,1977,-38,0,0,32,4.39,0.685,13131,6305,4377,1749,179,136,0.972,-26,-2
"216","St. Louis Cardinals1977",40,26.3,4.55,162,6136,5527,737,1490,252,56,96,686,134,112,489,823,0.27,0.33,0.388,0.718,93,2142,111,25,66,29,71,1072,15,25.7,4.25,83,79,0.512,3.81,162,136,26,10,8,31,1446,1420,688,612,139,532,40,768,25,9,43,6128,102,4.08,1.35,8.8,0.9,3.3,4.8,1.44,1102,1977,49,0,0,40,4.25,0.707,13010,6327,4338,1850,139,174,0.978,34,3
"217","Texas Rangers1977",42,28.5,4.73,162,6342,5541,767,1497,265,39,135,704,154,85,596,904,0.27,0.342,0.405,0.748,103,2245,118,39,116,50,47,1198,18,30,4.06,94,68,0.58,3.56,162,113,49,17,12,31,1472.1,1412,657,583,134,471,30,864,31,2,44,6164,116,3.77,1.279,8.6,0.8,2.9,5.3,1.83,1090,1977,110,0,0,42,4.06,0.71,13251,6404,4417,1870,117,156,0.982,62,6
"218","Toronto Blue Jays1977",36,27,3.76,161,6058,5419,605,1367,230,41,100,553,65,55,499,819,0.252,0.316,0.365,0.681,86,1979,156,23,81,34,34,1096,15,25.7,5.11,54,107,0.335,4.57,161,121,40,3,3,20,1428.1,1538,822,725,152,623,40,771,20,5,62,6301,92,4.39,1.513,9.7,1,3.9,4.9,1.24,1194,1977,-217,0,0,36,5.11,0.686,12855,6247,4285,1798,164,133,0.974,-35,-3
"219","Atlanta Braves1978",42,25.5,3.7,162,6066,5381,600,1313,191,39,123,558,90,65,550,874,0.244,0.315,0.363,0.677,81,1951,140,27,61,47,53,1115,18,28.2,4.63,69,93,0.426,4.08,162,133,29,12,7,32,1440.1,1404,750,653,132,624,82,848,42,18,67,6261,100,3.99,1.408,8.8,0.8,3.9,5.3,1.36,1190,1978,-150,0,0,42,4.63,0.703,12963,6213,4321,1739,153,126,0.975,-55,-5
"220","Baltimore Orioles1978",33,28,4.09,161,6081,5422,659,1397,248,19,154,612,75,61,552,864,0.258,0.326,0.396,0.722,108,2145,136,22,41,42,34,1162,15,26.8,3.93,90,71,0.559,3.56,161,96,65,16,14,33,1429,1340,633,566,107,509,29,754,15,6,44,5956,99,3.6,1.294,8.4,0.7,3.2,4.7,1.48,1036,1978,26,0,0,33,3.93,0.716,12861,6284,4287,1887,110,166,0.982,36,3
"221","Boston Red Sox1978",31,28.4,4.88,163,6316,5587,796,1493,270,46,172,738,74,51,582,835,0.267,0.336,0.424,0.76,103,2371,135,24,65,58,43,1155,14,29.2,4.03,99,64,0.607,3.54,163,106,57,15,14,26,1472.2,1530,657,579,137,464,45,706,35,5,16,6274,118,3.85,1.354,9.4,0.8,2.8,4.3,1.52,1199,1978,139,0,0,31,4.03,0.698,13254,6406,4418,1842,146,171,0.977,10,1
"222","California Angels1978",32,27.7,4.27,162,6206,5472,691,1417,226,28,108,646,86,69,539,682,0.259,0.33,0.37,0.7,101,2023,135,67,72,56,38,1166,13,26.6,4.11,87,75,0.537,3.65,162,118,44,13,10,33,1455.2,1382,666,590,125,599,60,892,32,14,36,6223,99,3.78,1.361,8.5,0.8,3.7,5.5,1.49,1190,1978,25,0,0,31,4.11,0.707,13101,6127,4367,1624,136,136,0.978,-28,-3
"223","Chicago Cubs1978",39,27.7,4.1,162,6258,5532,664,1461,224,48,72,612,110,58,562,746,0.264,0.331,0.361,0.692,86,1997,125,21,84,59,61,1217,14,27.5,4.47,79,83,0.488,4.05,162,138,24,7,7,38,1455.1,1475,724,655,125,539,93,768,33,12,53,6264,99,3.83,1.384,9.1,0.8,3.3,4.7,1.42,1174,1978,-60,0,0,38,4.47,0.699,13098,6569,4366,2059,144,154,0.978,-16,-1
"224","Chicago White Sox1978",43,27.2,3.94,161,5956,5393,634,1423,221,41,106,595,83,68,409,625,0.264,0.317,0.379,0.696,95,2044,122,33,63,57,20,1065,15,28.5,4.54,71,90,0.441,4.21,161,123,38,9,7,33,1409.1,1380,731,660,128,586,18,710,43,2,38,6087,91,4.1,1.395,8.8,0.8,3.7,4.5,1.21,1128,1978,-97,0,0,43,4.54,0.71,12684,6082,4228,1715,139,130,0.977,-10,-1
"225","Cincinnati Reds1978",35,29.8,4.41,161,6194,5392,710,1378,270,32,136,669,137,58,636,899,0.256,0.334,0.393,0.727,103,2120,112,26,84,54,72,1167,14,28.3,4.27,92,69,0.571,3.81,161,145,16,10,3,46,1448.1,1437,688,613,122,567,83,908,21,17,36,6232,93,3.64,1.384,8.9,0.8,3.5,5.6,1.6,1199,1978,22,0,0,34,4.27,0.697,13035,6155,4345,1676,134,120,0.978,-30,-3
"226","Cleveland Indians1978",36,26.6,4.02,159,6013,5365,639,1400,223,45,106,596,64,63,488,698,0.261,0.323,0.379,0.702,98,2031,124,26,92,40,31,1118,14,27.1,4.36,69,90,0.434,3.97,159,123,36,6,5,28,1407.1,1397,694,621,100,568,38,739,28,7,56,6068,94,3.73,1.396,8.9,0.6,3.6,4.7,1.3,1152,1978,-55,0,0,34,4.36,0.703,12666,6114,4222,1769,123,142,0.98,-20,-2
"227","Detroit Tigers1978",34,26.2,4.41,162,6299,5601,714,1520,218,34,129,666,90,38,563,695,0.271,0.339,0.392,0.73,103,2193,145,31,57,47,32,1227,17,27.1,4.03,86,76,0.531,3.64,162,102,60,12,12,21,1455.2,1441,653,589,135,503,23,684,36,2,48,6150,105,3.96,1.335,8.9,0.8,3.1,4.2,1.36,1130,1978,61,0,0,33,4.03,0.712,13100,6343,4367,1858,118,177,0.981,19,2
"228","Houston Astros1978",39,27.1,3.73,162,6035,5458,605,1408,231,45,70,557,178,59,434,743,0.258,0.313,0.355,0.668,94,1939,134,22,76,44,67,1085,15,26.6,3.91,74,88,0.457,3.63,162,114,48,17,13,23,1440.1,1328,634,581,86,578,54,930,31,21,47,6140,91,3.34,1.323,8.3,0.5,3.6,5.8,1.61,1185,1978,-29,0,0,39,3.91,0.707,12963,6071,4321,1617,133,109,0.978,-45,-4
"229","Kansas City Royals1978",38,27.2,4.59,162,6129,5474,743,1469,305,59,98,695,216,84,498,644,0.268,0.329,0.399,0.728,103,2186,95,30,55,72,44,1101,15,28.7,3.91,92,70,0.568,3.44,162,109,53,14,11,33,1439,1350,634,550,108,478,37,657,34,6,37,6034,111,3.71,1.27,8.4,0.7,3,4.1,1.37,1083,1978,109,1,0,37,3.91,0.718,12951,6143,4317,1676,150,153,0.976,54,5
"230","Los Angeles Dodgers1978",38,30.5,4.49,162,6225,5437,727,1435,251,27,149,686,137,52,610,818,0.264,0.338,0.402,0.74,108,2187,101,20,111,47,76,1214,15,28.7,3.54,95,67,0.586,3.12,162,116,46,16,13,38,1440.1,1362,573,499,107,440,43,800,23,8,35,6008,113,3.4,1.251,8.5,0.7,2.7,5,1.82,1114,1978,154,1,1,37,3.54,0.71,12963,6285,4321,1824,140,138,0.978,4,0
"231","Milwaukee Brewers1978",35,27.4,4.96,162,6227,5536,804,1530,265,38,173,762,95,53,520,805,0.276,0.339,0.432,0.771,116,2390,94,32,89,50,38,1162,13,25.1,4.01,93,69,0.574,3.65,162,100,62,19,16,24,1436,1442,650,583,109,398,26,577,41,7,34,6060,104,3.69,1.281,9,0.7,2.5,3.6,1.45,1102,1978,154,0,0,35,4.01,0.71,12924,6434,4308,1976,150,144,0.977,24,2
"232","Minnesota Twins1978",33,27,4.11,162,6326,5522,666,1472,259,47,82,621,99,56,604,684,0.267,0.339,0.375,0.714,100,2071,139,33,109,55,43,1261,16,26.5,4.19,73,89,0.451,3.69,162,114,48,9,5,26,1459.2,1468,678,599,102,520,19,703,33,14,51,6208,104,3.67,1.362,9.1,0.6,3.2,4.3,1.35,1151,1978,-12,0,0,33,4.19,0.7,13137,6468,4379,1943,146,171,0.977,10,1
"233","Montreal Expos1978",36,27.2,3.91,162,6064,5530,633,1404,269,31,121,589,80,42,396,881,0.254,0.306,0.379,0.685,93,2098,126,35,62,40,62,1071,18,28.9,3.77,76,86,0.469,3.42,162,120,42,13,9,32,1446,1332,611,550,117,572,51,740,29,13,40,6068,103,3.86,1.317,8.3,0.7,3.6,4.6,1.29,1119,1978,22,0,0,36,3.77,0.718,13014,6258,4338,1786,134,150,0.979,72,7
"234","New York Mets1978",36,27.1,3.75,162,6132,5433,607,1332,227,47,86,561,100,77,549,829,0.245,0.314,0.352,0.666,90,1911,126,24,71,55,59,1120,16,27.5,4.26,66,96,0.407,3.87,162,141,21,7,5,26,1455.1,1447,690,626,114,531,94,775,28,15,33,6165,90,3.69,1.359,8.9,0.7,3.3,4.8,1.46,1109,1978,-83,0,0,36,4.26,0.7,13098,6290,4366,1792,132,160,0.979,-20,-2
"235","New York Yankees1978",41,29.8,4.51,163,6220,5583,735,1489,228,38,125,693,98,42,505,695,0.267,0.329,0.388,0.718,105,2168,126,42,37,52,45,1153,17,28.3,3.57,100,63,0.613,3.18,163,124,39,16,12,36,1460.2,1321,582,516,111,478,30,817,32,4,43,6063,115,3.5,1.232,8.1,0.7,2.9,5,1.71,1099,1978,153,1,1,40,3.57,0.723,13146,6253,4382,1758,113,134,0.982,47,4
"236","Oakland Athletics1978",46,26.3,3.28,162,5914,5321,532,1304,200,31,100,492,144,117,433,800,0.245,0.303,0.351,0.654,89,1866,106,25,108,27,33,1031,15,25.3,4.26,69,93,0.426,3.62,162,136,26,11,6,29,1433.1,1401,690,577,106,582,59,750,26,9,37,6171,101,3.77,1.383,8.8,0.7,3.7,4.7,1.29,1181,1978,-158,0,0,45,4.26,0.701,12900,6105,4300,1626,179,145,0.971,-39,-4
"237","Philadelphia Phillies1978",37,29.9,4.37,162,6154,5448,708,1404,248,32,133,661,152,58,552,866,0.258,0.328,0.388,0.716,99,2115,93,42,61,49,88,1163,15,30.3,3.62,90,72,0.556,3.33,162,124,38,9,9,29,1436.1,1343,586,532,118,393,49,813,25,22,29,5887,108,3.39,1.209,8.4,0.7,2.5,5.1,2.07,992,1978,122,1,0,37,3.62,0.716,12927,6238,4309,1825,104,156,0.983,78,7
"238","Pittsburgh Pirates1978",37,29.2,4.25,161,6040,5406,684,1390,239,54,115,631,213,90,480,874,0.257,0.32,0.385,0.705,93,2082,95,42,64,46,89,1046,14,28.3,3.96,88,73,0.547,3.41,161,131,30,13,9,44,1444.2,1366,637,548,103,499,61,880,33,12,40,6141,109,3.4,1.291,8.5,0.6,3.1,5.5,1.76,1170,1978,47,0,0,35,3.96,0.703,13002,6192,4334,1691,167,133,0.973,-33,-3
"239","San Diego Padres1978",38,25.9,3.65,162,6081,5360,591,1349,208,42,75,542,152,70,536,848,0.252,0.321,0.348,0.669,95,1866,81,32,114,39,87,1192,16,28.4,3.69,84,78,0.519,3.28,162,141,21,10,7,55,1433.2,1385,598,522,74,483,92,744,12,20,28,6005,101,3.25,1.303,8.7,0.5,3,4.7,1.54,1106,1978,-7,0,0,38,3.69,0.699,12903,6376,4301,1915,160,171,0.975,-35,-3
"240","Seattle Mariners1978",34,27,3.84,160,6031,5358,614,1327,229,37,97,571,123,47,522,702,0.248,0.314,0.359,0.673,90,1921,112,22,68,53,25,1097,15,26.9,5.21,56,104,0.35,4.67,160,132,28,4,4,20,1419.1,1540,834,737,155,567,39,630,41,5,31,6241,81,4.4,1.484,9.8,1,3.6,4,1.11,1149,1978,-220,0,0,34,5.21,0.696,12774,6281,4258,1882,141,174,0.978,-37,-4
"241","San Francisco Giants1978",34,27.2,3.78,162,6103,5364,613,1331,240,41,117,576,87,54,554,814,0.248,0.318,0.374,0.692,97,2004,104,17,127,40,75,1149,14,27.8,3.67,89,73,0.549,3.3,162,120,42,17,16,29,1455,1377,594,534,84,453,76,840,22,9,32,6090,105,3.16,1.258,8.5,0.5,2.8,5.2,1.85,1131,1978,19,0,0,33,3.67,0.705,13095,6216,4365,1705,146,118,0.977,-31,-3
"242","St. Louis Cardinals1978",39,26.9,3.7,162,5966,5415,600,1351,263,44,79,568,97,42,420,713,0.249,0.303,0.358,0.661,86,1939,131,22,55,53,55,1037,16,25.3,4.06,69,93,0.426,3.58,162,130,32,13,10,22,1437.2,1300,657,572,94,600,66,859,31,17,61,6057,99,3.56,1.322,8.1,0.6,3.8,5.4,1.43,1087,1978,-57,0,0,39,4.06,0.712,12939,6295,4313,1846,136,155,0.978,-14,-1
"243","Texas Rangers1978",37,28.9,4.27,162,6141,5347,692,1353,216,36,132,650,196,91,624,779,0.253,0.332,0.381,0.713,101,2037,115,32,83,55,45,1103,13,29,3.9,87,75,0.537,3.36,162,108,54,12,11,25,1456.1,1431,632,543,108,421,31,776,24,3,35,6084,110,3.4,1.272,8.8,0.7,2.6,4.8,1.84,1083,1978,60,0,0,36,3.9,0.702,13107,6494,4369,1972,153,140,0.976,18,2
"244","Toronto Blue Jays1978",37,27,3.66,161,6015,5430,590,1358,217,39,98,551,28,52,448,645,0.25,0.308,0.359,0.667,87,1947,124,23,77,37,23,1074,14,25.9,4.81,59,102,0.366,4.54,161,126,35,5,3,23,1429.1,1529,775,721,149,614,40,758,22,5,47,6255,86,4.21,1.499,9.6,0.9,3.9,4.8,1.23,1192,1978,-185,0,0,34,4.81,0.69,12864,6182,4288,1763,131,163,0.979,-16,-1
"245","Atlanta Braves1979",38,26.4,4.18,160,6036,5422,669,1389,220,28,126,626,98,50,490,818,0.256,0.318,0.377,0.695,84,2043,112,23,62,38,47,1109,17,28.9,4.77,66,94,0.413,4.18,160,128,32,3,1,34,1407.2,1496,763,654,132,494,62,779,45,10,45,6149,97,3.99,1.414,9.6,0.8,3.2,5,1.58,1163,1979,-94,0,0,38,4.77,0.684,12669,6187,4223,1781,183,139,0.97,-86,-8
"246","Baltimore Orioles1979",34,28.9,4.76,159,6106,5371,757,1401,258,24,181,717,99,49,608,847,0.261,0.336,0.419,0.755,106,2250,143,31,42,54,52,1099,12,27.5,3.66,102,57,0.642,3.26,159,107,52,12,10,30,1434.1,1279,582,520,133,467,20,786,14,5,36,5897,123,3.85,1.217,8,0.8,2.9,4.9,1.68,1012,1979,175,1,1,34,3.66,0.727,12909,6192,4303,1764,125,161,0.98,74,7
"247","Boston Red Sox1979",34,29,5.26,160,6184,5538,841,1567,310,34,194,805,60,43,512,708,0.283,0.344,0.456,0.8,109,2527,158,33,42,59,38,1087,14,28.4,4.44,91,69,0.569,4.03,160,113,47,11,9,29,1431.1,1487,711,641,133,463,45,731,37,3,31,6120,111,3.97,1.362,9.4,0.8,2.9,4.6,1.58,1115,1979,130,0,0,34,4.44,0.696,12882,6289,4294,1853,142,166,0.977,37,3
"248","California Angels1979",39,28.3,5.35,162,6311,5550,866,1563,242,43,164,808,100,53,589,843,0.282,0.351,0.429,0.781,114,2383,136,37,79,56,42,1154,15,27.5,4.74,88,74,0.543,4.34,162,116,46,9,9,33,1436,1463,768,692,131,573,33,820,33,5,53,6213,94,4.04,1.418,9.2,0.8,3.6,5.1,1.43,1137,1979,98,1,0,37,4.74,0.695,12924,6051,4308,1608,135,172,0.978,-51,-5
"249","Chicago Cubs1979",37,28.5,4.36,162,6182,5550,706,1494,250,43,135,663,73,52,478,762,0.269,0.329,0.403,0.731,91,2235,126,35,77,42,49,1140,14,27.7,4.36,80,82,0.494,3.88,162,142,20,11,5,44,1446.2,1500,707,624,127,521,87,933,43,5,40,6232,107,3.75,1.397,9.3,0.8,3.2,5.8,1.79,1184,1979,-1,0,0,35,4.36,0.68,13020,6401,4340,1902,159,163,0.975,-48,-4
"250","Chicago White Sox1979",44,27.1,4.59,159,6056,5463,730,1505,290,33,127,680,97,62,454,668,0.275,0.333,0.41,0.743,100,2242,151,36,58,45,29,1085,22,25.5,4.7,73,86,0.459,4.1,159,131,28,9,9,37,1409,1365,748,642,114,618,43,675,40,7,50,6117,104,4.23,1.407,8.7,0.7,3.9,4.3,1.09,1142,1979,-18,0,0,44,4.67,0.708,12681,6231,4227,1831,173,142,0.972,12,1
"251","Cincinnati Reds1979",35,29.3,4.54,161,6218,5477,731,1445,266,31,132,686,99,47,614,902,0.264,0.338,0.396,0.734,99,2169,128,19,62,46,73,1192,14,28.5,4,90,71,0.559,3.58,161,134,27,10,7,40,1440.1,1415,644,573,103,485,63,773,18,7,30,6083,105,3.64,1.319,8.8,0.6,3,4.8,1.59,1118,1979,87,1,0,34,4,0.704,12963,6183,4321,1738,124,152,0.98,6,1
"252","Cleveland Indians1979",33,28.1,4.72,161,6207,5376,760,1388,206,29,138,707,143,90,657,786,0.258,0.34,0.384,0.724,96,2066,122,42,70,60,31,1149,14,26.7,5,81,80,0.503,4.57,161,133,28,7,5,32,1431.2,1502,805,727,138,570,32,781,23,5,44,6236,94,4.14,1.447,9.4,0.9,3.6,4.9,1.37,1136,1979,-45,0,0,33,5,0.693,12885,6071,4295,1642,134,149,0.978,-38,-4
"253","Detroit Tigers1979",41,26.6,4.81,160,6081,5375,770,1446,221,35,164,729,176,86,575,814,0.269,0.339,0.415,0.754,100,2229,140,22,56,52,28,1057,17,26.3,4.61,84,76,0.525,4.27,160,135,25,5,2,37,1423.1,1429,738,676,167,547,56,802,48,4,51,6111,102,4.38,1.388,9,1.1,3.5,5.1,1.47,1103,1979,32,0,0,40,4.58,0.705,12810,6157,4270,1767,120,184,0.981,-6,-1
"254","Houston Astros1979",40,27.2,3.6,162,6029,5394,583,1382,224,52,49,542,190,95,461,745,0.256,0.315,0.344,0.659,85,1857,105,22,109,43,75,1120,19,28.3,3.59,89,73,0.549,3.2,162,107,55,19,17,31,1447.2,1278,582,514,90,504,24,854,24,5,55,6014,111,3.45,1.231,7.9,0.6,3.1,5.3,1.69,1089,1979,1,0,0,40,3.59,0.719,13029,6188,4343,1707,138,146,0.978,34,3
"255","Kansas City Royals1979",38,27.9,5.25,162,6350,5653,851,1596,286,79,116,791,207,76,528,675,0.282,0.343,0.422,0.766,104,2388,114,35,57,76,56,1168,17,28.9,5.04,85,77,0.525,4.45,162,120,42,7,7,27,1448.1,1477,816,716,165,536,48,640,28,2,40,6242,96,4.5,1.39,9.2,1,3.3,4,1.19,1081,1979,35,0,0,37,5.04,0.711,13035,6268,4345,1777,146,160,0.977,35,3
"256","Los Angeles Dodgers1979",35,30.4,4.56,162,6188,5490,739,1443,220,24,183,713,106,46,556,834,0.263,0.331,0.412,0.743,103,2260,145,23,83,36,62,1111,17,28.3,4.43,79,83,0.488,3.83,162,132,30,6,5,34,1444,1425,717,614,101,555,53,811,27,11,44,6197,94,3.73,1.371,8.9,0.6,3.5,5.1,1.46,1148,1979,22,0,0,35,4.43,0.703,12996,6119,4332,1669,118,123,0.981,-35,-3
"257","Milwaukee Brewers1979",31,27.5,5.01,161,6227,5536,807,1552,291,41,185,766,100,53,549,745,0.28,0.345,0.448,0.793,113,2480,130,20,72,50,48,1142,17,26.6,4.48,95,66,0.59,4.03,161,100,61,12,12,23,1439.2,1563,722,645,162,381,24,580,20,1,48,6106,104,4.22,1.35,9.8,1,2.4,3.6,1.52,1065,1979,85,0,0,31,4.48,0.702,12957,6351,4319,1905,127,153,0.98,6,1
"258","Minnesota Twins1979",36,26.1,4.72,162,6297,5544,764,1544,256,46,112,714,66,45,526,693,0.278,0.341,0.402,0.743,97,2228,116,31,142,53,37,1201,16,29.5,4.48,82,80,0.506,4.13,162,131,31,6,3,33,1444.1,1590,725,663,128,452,21,721,15,7,39,6157,106,3.86,1.414,9.9,0.8,2.8,4.5,1.6,1099,1979,39,0,0,34,4.48,0.681,12999,6474,4333,2007,134,203,0.979,-3,0
"259","Montreal Expos1979",34,27.3,4.38,160,6029,5465,701,1445,273,42,143,651,121,56,432,890,0.264,0.319,0.408,0.728,99,2231,123,27,67,38,68,1026,14,28.6,3.63,95,65,0.594,3.14,160,127,33,18,13,39,1447.1,1379,581,505,116,450,51,813,23,7,28,6052,117,3.63,1.264,8.6,0.7,2.8,5.1,1.81,1129,1979,120,0,0,33,3.63,0.711,13026,6190,4342,1717,131,123,0.979,30,3
"260","New York Mets1979",39,27.6,3.64,163,6231,5591,593,1399,255,41,74,558,135,79,498,817,0.25,0.313,0.35,0.664,85,1958,117,35,66,40,53,1142,20,26.5,4.33,63,99,0.389,3.84,163,147,16,10,5,36,1482.2,1486,706,633,120,607,107,819,24,11,45,6357,95,3.96,1.412,9,0.7,3.7,5,1.35,1203,1979,-113,0,0,39,4.33,0.697,13344,6356,4448,1768,140,168,0.978,-33,-3
"261","New York Yankees1979",47,30.3,4.59,160,6061,5421,734,1443,226,40,150,694,65,46,509,590,0.266,0.328,0.406,0.733,99,2199,148,18,50,63,48,1063,19,31,4.2,89,71,0.556,3.83,160,117,43,10,8,37,1432.1,1446,672,610,123,455,22,731,14,1,45,6001,106,3.79,1.327,9.1,0.8,2.9,4.6,1.61,1032,1979,62,0,0,47,4.2,0.701,12891,6389,4297,1970,122,183,0.981,23,2
"262","Oakland Athletics1979",33,26.2,3.54,162,5971,5348,573,1276,188,32,108,541,104,69,482,751,0.239,0.302,0.346,0.648,80,1852,131,20,75,46,36,1030,13,25.4,5.31,54,108,0.333,4.75,162,121,41,4,3,20,1429.1,1606,860,754,147,654,67,726,49,4,72,6436,85,4.53,1.581,10.1,0.9,4.1,4.6,1.11,1288,1979,-287,0,0,33,5.31,0.678,12864,6180,4288,1718,174,137,0.972,-115,-11
"263","Philadelphia Phillies1979",38,30.6,4.19,163,6222,5463,683,1453,250,53,119,641,128,76,602,764,0.266,0.34,0.396,0.736,98,2166,124,37,60,57,66,1216,17,28.3,4.4,84,78,0.519,4.16,163,130,33,14,10,29,1441.1,1455,718,666,135,477,65,787,29,18,36,6086,92,3.91,1.34,9.1,0.8,3,4.9,1.65,1044,1979,-35,0,0,38,4.4,0.703,12972,6230,4324,1800,106,148,0.983,54,5
"264","Pittsburgh Pirates1979",34,29.6,4.75,163,6332,5661,775,1541,264,52,148,710,180,66,483,855,0.272,0.33,0.416,0.746,99,2353,113,32,98,56,102,1128,14,29.7,3.94,98,64,0.605,3.41,163,139,24,7,2,52,1493.1,1424,643,566,125,504,77,904,31,9,52,6272,114,3.68,1.291,8.6,0.8,3,5.4,1.79,1149,1979,132,1,1,31,3.94,0.706,13440,6366,4480,1752,134,163,0.979,6,1
